WORD                          COUNT 
borrowed                          6 
borrowing                         4 
borry                             2 
boss                              6 
boston                            2 
both                             47 
bother                           13 
bothered                          4 
botherin                          1 
bothering                         3 
bothersome                        1 
bothring                          1 
bots                              6 
bottle                            4 
bottles                           4 
bottom                           22 
bottomed                          1 
bottoms                           1 
bought                            6 
boun                              2 
bounce                            1 
bounced                           2 
bound                            13 
bounded                           1 
bounden                           1 
bourne                            1 
bout                             46 
bouts                             1 
bove                              1 
bow                               8 
bowed                             3 
bowie                             1 
bowl                              1 
bows                              2 
box                               4 
boxed                             1 
boxes                             2 
boy                              52 
boys                             31 
br                                1 
brace                             3 
bradish                           2 
bragged                           1 
bragging                          1 
brain                             2 
brains                            4 
bran                              1 
branches                          8 
branching                         1 
brandy                            1 
brash                             5 
brass                            15 
brave                             3 
braver                            2 
bray                              1 
brazen                            1 
breach                            2 
bread                            16 
break                            14 
breakers                          1 
breakfas                          1 
breakfast                        36 
breaking                          4 
breaks                            2 
breas                             2 
breast                           13 
breasts                           1 
breath                           13 
breathe                           5 
breathed                          1 
breathes                          1 
breathing                         1 
breaths                           1 
breed                             3 
breeze                            4 
breff                             1 
brer                              4 
brewing                           3 
brick                             1 
brickbat                          2 
bricked                           1 
bricks                            1 
bricksville                       1 
bridge                            1 
bridgewater                       4 
bridle                            3 
bright                            8 
brim                              1 
bring                             8 
bringing                          1 
brings                            1 
brisk                             3 
brisken                           1 
brisker                           2 
bristles                          1 
britches                          7 
broad                             8 
broke                            26 
broken                            9 
broomsticks                       1 
brother                          25 
brotherly                         1 
brothers                          8 
brought                           7 
brown                             4 
browsing                          2 
brung                             6 
brush                             5 
brute                             2 
bub                               1 
buck                             43 
bucket                            2 
buckle                            1 
buckled                           1 
buckner                           1 
bucks                             1 
buckshot                          1 
buckskin                          3 
bud                               3 
budge                             9 
bug                               2 
bugged                            2 
bugs                              3 
buil                              1 
build                             4 
building                          1 
built                             6 
bulge                             2 
bulged                            2 
bulges                            1 
bulging                           2 
bull                              3 
bulldog                           1 
bulled                            1 
bullet                            5 
bullets                           4 
bullfrogs                         1 
bullier                           1 
bulliest                          1 
bullinesses                       1 
bully                             6 
bullyrag                          1 
bullyragged                       1 
bullyragging                      1 
bulrushers                        2 
bum                               6 
bumble                            1 
bummers                           1 
bunch                             3 
bunched                           2 
bunches                           1 
bundle                            5 
bundles                           1 
bunker                            3 
bureau                            1 
burglars                          1 
burglary                          1 
buried                            4 
burning                           4 
burnt                             2 
burton                            2 
burying                           1 
bush                              3 
bushels                           1 
bushes                            9 
business                         36 
bust                             17 
busted                           19 
busting                           1 
busy                              1 
but                            1039 
butcher                           1 
butt                              1 
butter                            8 
butterflies                       1 
buttermilk                        3 
butting                           1 
button                            1 
buttons                           6 
buy                              11 
buyin                             1 
buying                            1 
buys                              1 
buzzing                           1 
by                              427 
bye                               6 
bymeby                            2 
c                                 5 
ca                                6 
cabbage                           3 
cabbages                          1 
cabin                            33 
cabins                            5 
cain                              6 
cairo                            13 
calamity                          1 
calculate                         1 
calculated                        2 
calculating                       1 
calf                              4 
calico                            9 
call                             29 
called                           33 
callin                            1 
calling                           4 
calls                             4 
came                              4 
camelopard                        1 
camels                            3 
camp                             30 
campaign                          2 
camped                            1 
can                             239 
cancer                            1 
candid                            1 
candle                           27 
candles                          12 
candlestick                       6 
candlesticks                      1 
cane                              5 
cannelstick                       1 
cannibal                          1 
cannon                            4 
cannot                            4 
canoe                            65 
canoed                            1 
canoes                            1 
cantelopes                        1 
cap                               1 
capered                           2 
capering                          1 
capet                             2 
capital                           1 
caps                              1 
captain                           9 
captains                          1 
captivated                        1 
captive                           2 
captivity                         2 
captured                          1 
carcass                           4 
card                              1 
cards                             2 
care                             22 
cared                             3 
careened                          1 
careful                           3 
carelessest                       1 
carpenter                         2 
carpenters                        1 
carpet                           11 
carpets                           1 
carriages                         1 
carried                           8 
carries                           1 
carry                             8 
carryin                           1 
carrying                          4 
cart                              1 
carts                             1 
carve                             1 
carved                            2 
casanova                          1 
case                             15 
cases                             1 
cash                              5 
cast                              1 
castle                            2 
castles                           1 
cat                              21 
catch                            18 
catched                          19 
catching                          3 
caterpillars                      1 
catfish                           4 
cats                              3 
cattle                            5 
caught                            2 
cause                             2 
cautious                          1 
cave                             14 
caved                             2 
cavern                           10 
caverns                           1 
caves                             2 
cavort                            1 
cavorting                         2 
cavortings                        1 
cease                             1 
celebrated                        3 
cellar                           12 
cent                              6 
center                            3 
cents                            22 
century                           1 
cert                              3 
certain                          10 
certainer                         1 
certainly                         1 
chain                            14 
chained                           5 
chains                            5 
chair                             9 
chairs                            9 
chalk                             4 
chalked                           1 
chance                           40 
chances                           2 
change                           12 
changed                           6 
changing                          5 
channel                           5 
chanst                            3 
chap                              8 
chaps                             2 
chapter                          86 
character                         2 
characters                        2 
charcoal                          1 
charge                            9 
charged                           3 
charges                           1 
charging                          2 
charitable                        1 
charities                         1 
charlemagne                       1 
charles                           1 
charlotte                         3 
charm                             1 
charts                            1 
chase                             2 
chased                            4 
chasing                           2 
chaw                             14 
chawed                            3 
chawing                           2 
chaws                             3 
cheap                             2 
cheats                            1 
check                             4 
checked                           1 
checks                            1 
cheek                             3 
cheeks                            2 
cheeky                            1 
cheer                             1 
cheered                           2 
cheerful                          2 
chelleeny                         1 
chest                             2 
chevron                           1 
chewing                           1 
chicken                           6 
chickens                          3 
chief                             2 
child                            12 
children                         21 
chile                            19 
chillen                           3 
chills                            3 
chilly                            1 
chimbleys                         1 
chimbly                           2 
chin                              7 
china                             3 
chinks                            2 
chins                             1 
chip                              2 
chipped                           3 
chippered                         1 
chipping                          2 
chips                             1 
chirrup                           1 
chisel                            3 
choice                            1 
choked                            1 
choose                            3 
chop                              9 
chopped                           1 
chopping                          1 
chops                             1 
christmas                         2 
christopher                       1 
chuckle                           3 
chuckleheads                      2 
chuckles                          1 
chunk                             1 
chunks                            1 
church                           21 
churchyards                       1 
churning                          1 
chute                             1 
cincinnati                        4 
cipher                            2 
ciphered                          3 
circle                            1 
circumstances                     1 
circus                           11 
circuses                          2 
city                              1 
civilizing                        1 
clack                             1 
clah                              1 
claim                             1 
claimed                           1 
claims                            1 
clan                              1 
clap                              1 
clapboards                        1 
clapped                           6 
clasp                             2 
class                             2 
clatter                           1 
clattering                        1 
claw                              1 
clawing                           1 
claws                             2 
clay                              2 
clayey                            1 
cle                               1 
clean                            18 
cleaned                           4 
cleanest                          1 
cleanse                           1 
clear                            17 
cleared                           7 
clearing                          2 
clearly                           1 
cler                              3 
clergy                            1 
clerk                             2 
clever                            1 
clew                              1 
clews                             1 
climb                             4 
climbing                          3 
clip                              4 
clipped                           1 
clo                               2 
clock                            18 
clogged                           1 
close                            24 
closed                            2 
closest                           2 
closet                            2 
closing                           1 
clost                             1 
cloth                             3 
clothes                          34 
clothesline                       1 
clothing                          1 
cloud                             2 
cloudbank                         1 
clouded                           3 
clouds                            2 
clown                             3 
club                              1 
clumb                            16 
clumbus                           1 
clump                             2 
cluttered                         1 
cluttering                        1 
coals                             1 
coarse                            5 
coase                             1 
coat                             21 
coats                             2 
coax                              1 
coaxing                           1 
cob                               2 
cobs                              1 
cocked                            2 
cocking                           1 
codes                             1 
coffee                            9 
coffin                           18 
coffins                           2 
col                               4 
cold                             26 
colicky                           1 
collar                            3 
collared                          1 
collect                           1 
collected                         2 
collection                        6 
college                           1 
collins                           1 
colonel                           3 
color                             3 
colors                            1 
com                               1 
comb                              5 
combed                            1 
come                            400 
comedy                            2 
